level,start,end,name,link,prize
major,20210804,20210808,DH SC2 Masters 2021 Fall: China,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Fall/CN,14500
premier,20210728,20210815,DH SC2 Masters 2021 Fall: Europe,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Fall/EU,74000
premier,20210803,20210815,DH SC2 Masters 2021 Fall: North America,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Fall/NA,33600
premier,20210907,20210912,DH SC2 Masters 2021 Fall: Season Finals,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Fall,50000
major,20210917,20210919,ASUS ROG Fall 2021,https://liquipedia.net/starcraft2/ASUS_ROG/2021/Fall,15000
major,20210929,20211003,DH SC2 Masters 2021 Winter: TW/HK,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Winter/TW,12200
major,20210929,20211003,DH SC2 Masters 2021 Winter: Oceania,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Winter/OC,12200
major,20210929,20211003,DH SC2 Masters 2021 Winter: Latin America,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Winter/LA,14500
premier,20210830,20211007,2021 Global StarCraft II League Season 3: Code S,https://liquipedia.net/starcraft2/Global_StarCraft_II_League/2021/Season_3,118000
major,20211006,20211010,DH SC2 Masters 2021 Winter: China,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Winter/CN,14500
premier,20210929,20211017,DH SC2 Masters 2021 Winter: Europe,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Winter/EU,74000
premier,20211005,20211017,DH SC2 Masters 2021 Winter: North America,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Winter/NA,33600
major,20211021,20211024,StayAtHome Story Cup #4,https://liquipedia.net/starcraft2/StayAtHome_Story_Cup/4,5000
major,20211025,20211031,PiG Sty Festival,https://liquipedia.net/starcraft2/PiG_Sty_Festival,6960
premier,20211109,20211114,DH SC2 Masters 2021 Winter: Season Finals,https://liquipedia.net/starcraft2/ESL_Pro_Tour/2021/22/Masters/Winter,50000
major,20211119,20211121,King of Battles 2,https://liquipedia.net/starcraft2/King_of_Battles/2,15000
